Name and Cultivars or Varieties (sorted by name),Units,$/Unit,U/SF,$/kg,kg/sf,kg/m3,lb/kg,oz/kg,
Parsley {Petroselinum crispum}: 'Krausa',oz,0.22,4.12,7.77385159,0.116596,1.254922748,,,
Parsnips {Pastinaca sativa}: 'Harris Model',lb,3.6,0.5,7.947019868,0.2265,2.4378195,,,
"Peas, Edible Pod {Pisum sativum var. macrocarpon}: 'Super Sugar Snap'",lb,6.99,0.51,15.43046358,0.23103,2.48657589,,,
"Peas, English {Pisum sativum}: 'Waverex'",lb,3.6,0.55,7.947019868,0.24915,2.68160145,,,
"Peas, Snow {Pisum sativum var. macrocarpon}: (1) 'Oregon Sugar Pod II' (2) 'Oregon Giant'",lb,6.99,0.91,15.43046358,0.41223,4.43683149,,,
"Pepper, Bell {Capsicum annuum var annuum }: 'NorthStar'",lb,6.99,0.61,15.43046358,0.27633,2.97413979,,,
"Pepper, JalapeÐo/Jalapeno {Capsicum annuum var annuum 'Jalapeno'}: 'Jalapa'",lb,6.99,0.9,15.43046358,0.4077,4.3880751,,,
"Pepper, Misc. {Capsicum annuum}: (1) 'Antohi Romanian' sweet pimento",lb,6.99,0.82,15.43046358,0.37146,3.99802398,,,
Potato {Solanum tuberosum}: (1) 'Red Cloud' (2) 'Yellow Finn',lb,2.34,1.47,5.165562914,0.66591,7.16718933,,,
Pumpkin {Cucurbita pepo}: 'Howden',lb,1.2,6.16,2.649006623,2.79048,30.03393624,,,
"Radish, Red {Raphanus sativus}: (1) 'Cherry Belle'",lb,1.99,1.66,4.392935982,0.75198,8.09356074,,,
"Radish, White {Raphanus sativus; Daikon}: (1) 'Icicle'",lb,1.99,2.03,4.392935982,0.91959,9.89754717,,,
"Rhubarb {Rheum rhabarbarum, R. rhaponticum and others}",lb,3.99,1.28,8.80794702,0.57984,6.24081792,,,
Rutabaga {Brassica napus or napobrassica}: 'Marian',lb,2.99,0.46,6.600441501,0.20838,2.24279394,,,
"Spinach, Spring/Fall {Spinacia oleracea}: (1) 'Bloomsdale Savoy'",lb,2.4,0.87,5.298013245,0.39411,4.24180593,,,
"Spinach, Spring/Fall {Spinacia oleracea}: (1) Leafy Shield Hybrid (2) 'Space' F1",lb,2.4,0.07,5.298013245,0.03171,0.34129473,,,
"Squash, Summer, Patty Pan {Cucurbita pepo}: 'Sunburst' (F1)",lb,2.99,3.98,6.600441501,1.80294,19.40504322,,,
"Squash, Summer, Yellow {Cucurbita moschata}: 'Yellow Crookneck'",lb,2.99,0.9,6.600441501,0.4077,4.3880751,,,
"Squash, Summer, Zucchini {Cucurbita pepo L.}: 'Italiano largo' hybrid",lb,2.99,5.25,6.600441501,2.37825,25.59710475,,,
"Squash, Summer, Zucchini {Cucurbita pepo L.}: 'Jackpot'",lb,2.99,2.76,6.600441501,1.25028,13.45676364,,,
"Squash, Winter, Acorn {Cucurbita pepo}: (1) 'Table King' (2) 'Table Ace'",lb,1.99,0.55,4.392935982,0.24915,2.68160145,,,
"Squash, Winter, Buttercup {Cucurbita maxima; Buttercup/Kabocha type}: 'Gold Nugget'",lb,2.4,2.87,5.298013245,1.30011,13.99308393,,,
"Squash, Winter, Butternut {Cucurbita moschata}: (1) 'Waltham' (2) 'Early Butternut'",lb,2.4,1.59,5.298013245,0.72027,7.75226601,,,
"Squash, Winter, Delicata {Cucurbita pepo}: (1) 'Bush Delicata' (2)'Delicata' (vining)",lb,3.6,0.69,7.947019868,0.31257,3.36419091,,,
"Squash, Winter, Hubbard {Cucurbita maxima Hubbard Group}: Blue",lb,2.4,0.57,5.298013245,0.25821,2.77911423,,,
"Squash, Winter, Spaghetti {Cucurbita pepo}: 'Vegetable'",lb,2.4,4.24,5.298013245,1.92072,20.67270936,,,
Tomatillo {Physalis ixocarpa; Mexican or Mayan Husk Tomato}: 'Mexican strain',lb,4.8,1.95,10.59602649,0.88335,9.50749605,,,
"Tomato, Cherry, small andæ` medium {Solanum lycopersicum}: (1) 'Sungold'",lb,5.32,2.6,11.74392936,1.1778,12.6766614,,,
"Tomato, large {Solanum lycopersicum}: (1) 'Big Beef' (2) 'Siletz'",lb,3.99,2.53,8.80794702,1.14609,12.33536667,,,
Turnip {Brassica rapa}: 'Purple Top' aka 'White Globe',lb,2.99,6.63,6.600441501,3.00339,32.32548657,,,
